Acceleration,Pressure,Temperature,Altitude
99.35301168,940.72244526,18945.8333336,2039.93072942
99.18875304,941.32864488,18716.6666669,2022.36081257
99.11835648,940.8313317,18718.7500003,2036.77412058
98.87196852,940.97097978,18760.4166669,2032.7261673
99.23568408,940.67312898,18764.5833336,2041.36050162
100.15083936,940.94388024,18729.1666669,2033.51165866
99.36474444,941.03543274,18554.166667,2030.85804523
101.05426188,941.13870396,18475.0000003,2027.86502017
92.99385576,940.71365622,18112.5000004,2040.18553586
95.02362324,940.77298224,17941.6666671,2038.46562979
90.47131236,940.75003308,17725.0000004,2039.13093283
115.79060844,941.06302056,17525.0000005,2030.05846404
97.62829596,941.20095966,17318.7500005,2026.06084276
91.17527796,941.06839164,17081.2500005,2029.90279558
104.8322106,940.85306016,16958.3333339,2036.14424974
116.52977232,941.27371338,16741.6666673,2023.95255395
98.86023576,940.8240075,16529.1666673,2036.98643925
95.35214052,940.89920262,16379.1666673,2034.80669791
99.38820996,941.1255204,16229.1666673,2028.24709367
102.63818448,940.67410554,16216.6666673,2041.33218871
100.2564342,941.0278644,16185.4166673,2031.07740268
99.04795992,940.61136156,16241.6666673,2043.15134152
103.90532256,940.93411464,16145.833334,2033.79472309
95.51639916,941.0107746,16158.333334,2031.57273121
94.81243356,940.59231864,16185.4166673,2043.70347738
96.46675272,941.05862604,16218.7500007,2030.18582969
96.00917508,940.68753324,16220.833334,2040.94288861
99.69326172,940.70608788,16164.583334,2040.40495407
97.27631316,941.1328446,16152.083334,2028.03483008
47.15396244,940.74490614,15968.7500007,2039.27956616
102.5443224,940.79910522,15766.6666674,2037.70833274
87.78451032,941.45925978,15639.5833341,2018.57630731
106.5334608,941.0559405,15504.1666674,2030.26366449
114.03069444,941.17386012,15406.2500008,2026.8461787
87.16267404,941.63235504,15322.9166675,2013.56160858
108.45763344,941.2634595,15231.2500008,2024.24968734
120.40158312,941.44363482,15141.6666675,2019.02901079
82.99754424,941.57327316,15018.7500009,2015.27317078
88.9929846,941.94436596,15085.4166675,2004.52430464
92.65360572,942.21780276,14929.1666675,1996.60628138
101.03079636,942.10598664,14889.5833342,1999.84396243
115.42689288,942.29592756,14783.3333342,1994.34433077
84.33507888,942.27371082,14700.0000009,1994.98755752
98.64904608,942.52883712,14710.4166676,1987.60179155
120.80049696,942.33010716,14604.1666676,1993.35477513
133.35455016,942.41726514,14575.0000009,1990.83153977
100.0804428,942.61990134,14508.3333343,1984.96592452
73.64653452,942.96169734,14450.000001,1975.07442878
116.18952228,943.28347386,14289.5833343,1965.76494477
85.03904448,943.22951892,14312.500001,1967.32576377
77.0255694,943.23318102,14233.3333343,1967.21982354
79.23132828,943.16848392,14147.9166677,1969.09148327
100.0804428,943.4216571,14181.250001,1961.76788274
99.68152896,943.58254536,14072.9166677,1957.11465687
87.02188092,943.4607195,14018.750001,1960.63805715
102.79071036,943.45901052,13993.750001,1960.68748623
94.95322668,943.31447964,13927.0833344,1964.86803624
96.54888204,943.2898215,13956.250001,1965.58132376
100.4324256,943.35671586,13879.1666677,1963.64630161
99.76365828,943.40139348,13877.0833344,1962.35399468
99.59939964,943.41164736,13877.0833344,1962.05740664
86.98668264,943.38161814,13808.3333344,1962.92599327
100.76094288,943.19900142,13762.5000011,1968.20861196
101.62916712,943.6450452,13702.0833344,1955.30720369
103.31868456,943.52517246,13666.6666677,1958.77392775
115.40342736,943.68142206,13593.7500011,1954.25525408
94.6833732,943.58108052,13570.8333344,1957.15702022
97.83948564,943.44875664,13500.0000011,1960.98406221
82.02372516,943.18777098,13466.6666678,1968.53350591
115.37996184,943.41872742,13354.1666678,1961.85262118
112.23558216,943.7036388,13277.0833345,1953.61280437
120.41331588,943.2934836,13260.4166678,1965.47538901
105.9468228,943.2629661,13166.6666678,1966.35818872
104.44502952,943.24392318,13027.0833345,1966.90906746
105.09033132,943.4900163,13020.8333345,1959.79071282
108.19951272,943.75319922,12941.6666679,1952.17969144
93.89727828,943.64699832,12883.3333345,1955.25072234
95.59852848,943.6072035,12772.9166679,1956.40154853
111.43775448,943.5058854,12675.0000012,1959.33174354
109.701306,943.85842356,12650.0000012,1949.13717586
90.9875538,943.66530882,12585.4166679,1954.72121429
108.51629724,943.59353166,12477.0833346,1956.79693347
85.08597552,943.5229752,12406.2500013,1958.83747592
96.72487344,943.5010026,12414.5833346,1959.47296419
98.2032012,943.53860016,12427.0833346,1958.38558043
99.2004858,943.3923603,12600.0000012,1962.61527678
95.9739768,943.37990916,12650.0000012,1962.9754257
99.34127892,943.53127596,12710.4166679,1958.59740569
98.69597712,943.59792618,12785.4166679,1956.66984495
98.4965202,943.55910792,12797.9166679,1957.79247681
97.83948564,943.24905012,12745.8333346,1966.76075307
6.23009556,943.31203824,12827.0833345,1964.93865809
-32.3237538,943.34524128,12835.4166679,1963.97821357
-100.97213256,943.55617824,12591.6666679,1957.87720526
-76.35680208,943.6535901,12502.0833346,1955.06009848
-96.3846234,943.84816968,12337.5000013,1949.43365022
-90.83502792,943.76198826,12385.4166679,1951.92554969
-90.02546748,943.46950854,12318.7500013,1960.38385162
-90.95235552,943.55276028,12254.166668,1957.97605538
-82.50476832,943.62087534,12083.3333347,1956.00616823
-91.65632112,943.41482118,12104.166668,1961.96560611
-102.33313272,943.7182872,11897.916668,1953.18921785
-93.58049376,943.62624642,11939.5833347,1955.85084152
-89.84947608,943.20510492,11956.2500014,1968.03204047
-81.63654408,943.09719504,11733.3333347,1971.1539608
-103.70586564,943.37356152,11556.2500014,1963.15903252
-92.982123,943.491237,11193.7500015,1959.75540727
-95.77451988,943.26467508,11150.0000015,1966.30875133
-58.91018796,943.37087598,11022.9166682,1963.23671263
-115.40342736,943.20486078,10858.3333349,1968.03910331
-103.14269316,943.29738984,10745.8333349,1965.36239232
-124.27339392,943.38772164,10520.8333349,1962.74944946
-79.87663008,943.48952802,10443.7500016,1959.80483505
-60.37678296,943.1103786,10379.1666683,1970.77253421
-100.79614116,943.35549516,10368.7500016,1963.68161123
-81.43708716,942.72927606,10429.1666683,1981.80032995
-119.75628132,942.98000784,10314.5833349,1974.54460915
-69.223284,942.4853802,10316.6666683,1988.85973107
-94.63644216,942.5928018,10289.583335,1985.75030308
-103.81146048,942.42385692,10252.083335,1990.64071453
-107.354754,942.5378703,10114.583335,1987.34031563
-115.59115152,942.52908126,9977.083335,1987.59472461
-113.05687536,942.38943318,9916.66666834,1991.63725826
-118.53607428,942.66091686,9793.7500017,1983.77879171
-107.48381436,942.43508736,9681.25000171,1990.31560735
-83.6545788,942.64333878,9585.4166684,1984.28755779
-94.16713176,942.58230378,9585.4166684,1986.05416635
-89.5209588,942.5281047,9464.58333508,1987.62299239
-72.66098268,942.37454064,9331.25000177,1992.06839624
-71.73409464,942.42751902,9204.16666846,1990.53470098
-74.18624148,942.57375888,9143.7500018,1986.30149893
-91.23394176,942.55715736,9079.16666848,1986.78203601
-80.06435424,942.46877868,9037.50000182,1989.34030464
-96.59581308,942.49538994,8958.33333516,1988.5699768
-87.73757928,942.6404091,8929.1666685,1984.37235288
-87.22133784,942.42971628,8935.4166685,1990.471093
-78.75028512,942.61550682,8910.4166685,1985.0931198
-92.12563152,942.4304487,8922.9166685,1990.44989037
-88.15995864,942.46389588,8860.41666851,1989.48165111
-113.53791852,942.56033118,8797.91666852,1986.6901681
-79.57157832,942.6147744,8841.66666852,1985.11431906
-77.53007808,942.60915918,8893.75000184,1985.27684717
-89.59135536,942.37893516,8960.4166685,1991.94117462
-90.99928656,942.47781186,9164.58333513,1989.07881523
-90.71770032,942.23660154,9325.00000177,1996.06198564
-91.26914004,942.34280244,9495.83333508,1992.98723329
-90.7528986,942.39651324,9650.00000172,1991.43229296
-90.50651064,942.49612236,9787.5000017,1988.54877536
-90.21319164,942.55178628,9897.91666835,1986.93750536
-91.18701072,942.36746058,10031.2500017,1992.27336541
-91.09314864,942.6391884,10162.5000016,1984.40768424
-90.06066576,942.6355263,10283.333335,1984.51367852
-88.6410018,942.55300698,10362.5000016,1986.90217135
-89.00471736,942.67410042,10545.8333349,1983.39722218
-90.4595796,942.29885724,10616.6666682,1994.25951057
-90.61210548,942.41628858,10695.8333349,1990.85981027
-93.31064028,942.33840792,10791.6666682,1993.11445885
-30.29398632,942.35867154,10660.4166682,1992.52781163
-161.81822592,942.57034092,10479.1666683,1986.40043248
-104.96127096,942.53567304,10454.1666683,1987.4039177
-17.012502,942.44485296,10497.9166683,1990.03290801
-87.43252752,942.21755862,10643.7500016,1996.61335022
-142.56476676,942.514677,10550.0000016,1988.0116768
-137.57834376,942.42483348,10618.7500016,1990.61244422
-99.11835648,942.38332968,10535.4166682,1991.81395348
-74.49129324,942.38552694,10647.9166682,1991.75034309
-88.18342416,942.30740214,10758.3333349,1994.01211956
-92.59494192,942.19827156,10868.7500015,1997.17179276
17.75166588,942.56326086,10975.0000015,1986.60536717
45.07726392,942.5122356,11095.8333348,1988.08234717
-192.22953984,942.40505814,11022.9166682,1991.1849227
-163.16749332,942.41238234,11068.7500015,1990.9728925
-102.33313272,942.4475385,11087.5000015,1989.9551661
-96.3846234,942.48611262,11131.2500015,1988.83852946
-180.43811604,942.65798718,10931.2500015,1983.86358552
-98.54345124,942.29104476,11077.0833348,1994.48569823
-95.14095084,942.7014441,11122.9166682,1982.6058325
-87.65544996,942.59817288,11135.4166681,1985.59483921
-52.19904924,942.39846636,11070.8333348,1991.37575102
-91.67978664,942.54055584,11002.0833348,1987.26257994
-130.65601536,942.67483284,11033.3333348,1983.376024
-87.80797584,942.69631716,11162.5000015,1982.75421665
-58.05369648,942.30813456,11275.0000015,1993.9909147
-95.29347672,942.32107398,11366.6666681,1993.61629772
-90.35398476,942.53201094,11418.7500014,1987.5099214
-89.80254504,942.3974898,11539.5833348,1991.40402198
-89.43882948,942.39944292,11602.0833347,1991.34748009
-89.2863036,942.22708008,11710.4166681,1996.3376668
-86.57603604,942.42947214,11797.916668,1990.47816055
-88.65273456,942.3108201,11854.166668,1993.91316367
-87.53812236,942.2839647,11995.8333347,1994.69068211
-87.63198444,942.38137656,12041.666668,1991.87049615
-87.74931204,942.28811508,12172.916668,1994.570519
-87.24480336,942.63259662,12229.166668,1984.59847418
-85.1211738,942.21609378,12318.7500013,1996.65576325
-86.90455332,942.31057596,12293.7500013,1993.92023193
-156.23343216,942.4206831,12110.416668,1990.73259322
-30.25878804,942.45290958,12089.5833347,1989.79968283
-89.18070876,942.4963665,11872.916668,1988.54170822
-174.60693432,942.6721473,11747.9166681,1983.45375073
-104.52715884,942.6306435,11610.4166681,1984.65500474
-147.21093972,942.53103438,11550.0000014,1987.53818911
-115.6263498,942.40383744,11504.1666681,1991.2202612
-83.1852684,942.67141488,11600.0000014,1983.47494896
-123.14704896,942.44924748,11572.9166681,1989.90569408
-90.76463136,942.64016496,11618.7500014,1984.37941915
-88.66446732,942.41287062,11820.8333347,1990.9587572
-79.58331108,942.3388962,11816.666668,1993.10032266
-75.80536236,942.56985264,11852.0833347,1986.41456587
-92.36028672,942.31106424,11941.666668,1993.9060954
-87.49119132,942.48000912,12016.666668,1989.01521001
-75.21872436,942.43362252,12120.8333347,1990.35801246
-89.41536396,942.72170772,12168.7500013,1982.01936821
-90.54170892,942.43215768,12235.416668,1990.40041762
-96.74833896,942.59548734,12308.3333346,1985.67257105
-88.95778632,942.43508736,12379.1666679,1990.31560735
-87.7610448,942.3449997,12422.9166679,1992.92362068
-96.40808892,942.59939358,12491.6666679,1985.55950661
-111.4025562,942.38796834,12502.0833346,1991.67966503
-88.41807936,942.54739176,12564.5833346,1987.06470808
-89.8142778,942.61282128,12637.5000012,1985.17085049
-90.9875538,942.29763654,12689.5833346,1994.2948523
-90.85849344,942.44485296,12777.0833346,1990.03290801
-89.2863036,942.62283102,12804.1666679,1984.88112793
-85.15637208,942.30398418,12820.8333345,1994.11107575
-89.53269156,942.50759694,12870.8333345,1988.21662129
-90.88195896,942.45046818,12937.5000012,1989.87035696
-86.32964808,942.47707944,13043.7500012,1989.100017
-89.61482088,942.75124866,13054.1666678,1981.16442049
-98.48478744,942.30032208,13100.0000012,1994.21710056
-87.60851892,942.29348616,13135.4166678,1994.41501443
-88.89912252,942.35915982,13108.3333345,1992.51367568
-92.28989016,942.55471596,13200.0000012,1986.85270381
-91.55072628,942.45876894,13256.2500011,1989.63006554
-94.06153692,942.49807548,13272.9166678,1988.49223827
-84.68706168,942.37844688,13387.5000011,1991.95531033
-85.95419976,942.46560486,13454.1666678,1989.43217978
-84.34681164,942.6159951,13404.1666678,1985.07898697
-88.13649312,942.38992146,13527.0833344,1991.62312268
-87.54985512,942.5659464,13539.5833344,1986.52763318
-81.20243196,942.24563472,13589.5833344,1995.80044406
-81.3080268,942.36770472,13616.6666678,1992.26629748
-86.02459632,942.58865142,13683.3333344,1985.87043474
-89.26283808,942.42019482,13702.0833344,1990.74672842
-88.50020868,942.65310438,13754.1666677,1984.00490902
-82.55169936,942.2790819,13762.5000011,1994.83205103
-82.84501836,942.12869166,13783.3333344,1999.18650421
-76.27467276,942.4060347,13883.3333344,1991.15665193
-83.92443228,942.39163044,13908.3333344,1991.5736482
-81.836001,942.18459972,13975.000001,1997.56765638
-82.80982008,942.4304487,13991.6666677,1990.44989037
-77.50661256,942.17727552,14093.750001,1997.77972809
-78.0815178,942.5183391,14127.0833343,1987.90567151
-78.902811,942.59988186,14147.9166677,1985.54537358
-77.85859536,942.38699178,14227.0833343,1991.70793624
-79.94702664,942.14382834,14208.3333343,1998.74820585
-81.04990608,942.2900682,14291.6666676,1994.5139718
-82.43437176,942.14016624,14335.4166676,1998.85424525
-79.10226792,942.40286088,14385.4166676,1991.24853202
-80.21688012,942.43508736,14483.3333343,1990.31560735
-79.86489732,942.46047792,14504.1666676,1989.58059399
-80.59232844,942.16726578,14477.0833343,1998.06956158
-81.3666906,942.25027338,14541.6666676,1995.66613972
-60.90475716,942.32375952,14329.1666676,1993.53854755
-105.26632272,942.23489256,14133.3333343,1996.11146671
-78.16364712,942.57278232,13804.1666677,1986.32976563
-46.051083,942.41433546,13662.5000011,1990.91635134
-70.39656,942.51492114,13447.9166678,1988.00460977
-17.39968308,942.49661064,13322.9166678,1988.53464108
-83.58418224,942.31252908,13183.3333345,1993.86368583
-46.82544516,942.3547653,13060.4166678,1992.64089946
-69.73952544,942.2998338,12883.3333345,1994.23123722
-106.90890912,942.65163954,12652.0833346,1984.04730618
-107.21396088,942.17092788,12445.8333346,1997.96352465
-104.7735468,942.4121382,12366.666668,1990.97996015
-143.10447372,942.28738266,12250.0000013,1994.59172422
-41.49877212,941.82351666,12225.0000013,2008.0243812
-86.91628608,941.4270333,12241.666668,2019.51001489
-84.83958756,941.47903512,12185.416668,2018.0033632
-80.61579396,941.35818582,12214.5833346,2021.50484053
-80.29900944,941.48025582,12181.2500013,2017.9679966
-76.30987104,941.6589663,12120.8333347,2012.79072674
-75.05446572,941.37747288,12054.166668,2020.94599449
-90.26012268,941.39822478,12027.0833347,2020.3447148
-63.33343848,941.464875,11837.5000014,2018.41361849
-83.27913048,941.86868256,11712.5000014,2006.71622923
-47.4003504,941.48367378,11783.3333347,2017.86897031
90.55344168,941.5075995,11802.0833347,2017.17579446
99.7871238,941.58157392,11993.7500013,2015.03269811
92.5128126,941.65945458,12075.0000013,2012.77658228
97.51096836,941.68069476,12179.166668,2012.16130419
96.71314068,941.52786312,12289.5833346,2016.58872811
94.02633864,941.6028141,12420.8333346,2014.41737881
97.46403732,941.85842868,12512.5000013,2007.01321062
99.42340824,941.32351794,12581.2500013,2022.50937192
99.34127892,941.67166158,12654.1666679,2012.42297281
99.47033928,941.73757938,12802.0833345,2010.51354578
99.0244944,941.72756964,12995.8333345,2010.80348884
99.36474444,941.59158366,13220.8333345,2014.74271865
99.32954616,941.85769626,13347.9166678,2007.03442368
99.32954616,941.43508992,13554.1666678,2019.27658557
99.68152896,941.19412374,13729.1666677,2026.25894379
99.54073584,941.28250242,13820.8333344,2023.69787028
